Hour,DHI,Wind speed,Temperature
5,0,1.071813583,7.237475858
6,0,1.364892125,7.917940218
7,56,1.561904669,12.02197495
8,104,1.375180483,14.92486271
9,132,1.601595879,18.59995122
10,148,1.903362393,20.88992265
11,156,2.048751593,22.12753652
12,158,2.13873601,22.77942802
13,153,2.158549547,22.83755407
14,141,2.040162563,22.12552855
15,119,1.809284925,20.63296433
16,90,1.635503173,17.66732557
17,2,1.599228859,15.35812981
18,0,1.571406007,14.50183179
19,0,1.526340842,13.73486402
20,0,1.361224413,13.04605909
21,0,1.099311709,12.43241183
22,0,0.859805405,11.88149153
23,0,0.699689269,11.39444341
0,0,0.704898,10.99116858
1,0,0.859977484,10.64273619
2,0,0.952994704,10.32838613
3,0,0.990713537,10.03989869
4,0,1.01389122,9.789995542
5,0,0.99739629,9.582875201
6,0,0.94859606,10.30644241
7,56,0.843886554,14.63135894
8,103,0.473652273,17.51734606
9,131,0.359444439,21.09613329
10,147,0.640926361,24.06984698
11,155,0.513378203,25.29438687
12,157,0.589023173,25.8157643
13,152,0.770345926,25.71968399
14,140,0.986818492,24.93528849
15,119,1.168294907,23.63857088
16,82,1.295988798,20.74148021
17,2,1.254019499,18.39449291
18,0,0.963836312,17.50256665
19,0,0.512608171,16.70462214
20,0,0.238513917,15.97176751
21,0,0.693881571,15.28894854
22,0,1.195583344,14.6803061
23,0,1.605259299,14.11319771
0,0,1.859702945,13.60467704
1,0,1.973756075,13.12713445
2,0,1.93753469,12.65532487
3,0,1.859558225,12.26808752
4,0,1.792345047,11.94561357
5,0,1.710990191,11.65350246
6,0,1.627741694,12.32243322
7,56,1.461459994,16.30006971
8,102,1.192236066,19.06648402
9,130,1.097172022,22.77622541
10,146,1.329025626,25.74508746
11,154,1.669902563,26.72442764
12,156,2.066663027,26.99196564
13,151,2.300596476,26.77239673
14,139,2.273130655,26.09185538
15,118,2.010984421,24.83200376
16,94,1.542783976,22.37902252
17,2,1.154110432,20.27093719
18,0,1.259325624,19.53977267
19,0,2.009614229,18.88723915
20,0,2.782184839,18.25231062
21,0,3.350066423,17.62950335
22,0,3.686301947,16.96822007
23,0,3.800853491,16.32109029
0,0,3.724625349,15.77783385
1,0,3.549777269,15.28856282
2,0,3.310500145,14.97186899
3,0,3.058740377,15.23929412
4,0,2.815727234,15.21515956
5,0,2.641149044,14.93748657
6,0,2.486149311,15.33231089
7,49,2.144095421,17.72745956
8,101,1.937815309,20.89717804
9,129,2.402588129,24.05848668
10,145,2.5606637,25.24077526
11,153,2.619543791,25.60581194
12,154,2.6659863,25.71438105
13,150,2.699697495,25.39984734
14,138,2.712266445,24.757588
15,118,2.492833853,23.84735391
16,82,2.19639945,21.86540701
17,3,2.268720388,20.1519886
18,0,2.399157286,19.89713856
19,0,2.462092161,19.50523536
20,0,2.545425653,18.68708728
21,0,2.672550201,17.83080569
22,0,2.741692543,16.75407912
23,0,2.730801582,15.57243077
0,0,2.744251728,14.4715273
1,0,2.903999329,13.35283578
2,0,3.085636377,12.34903228
3,0,3.041575193,11.44837354
4,0,2.792649746,10.54946652
5,0,2.51304388,9.757447302
6,0,2.266940594,9.811349685
7,56,1.804759264,11.93140509
8,104,1.698662758,15.26120548
9,132,2.114515781,18.40120105
10,149,2.351019382,20.32549625
11,158,2.644837856,21.36269291
12,160,2.944212437,21.6109611
13,155,3.0916605,21.29166957
14,144,3.086151361,20.39865531
15,121,2.96091795,18.81715004
16,94,2.844364882,15.73459697
17,3,2.940276146,13.17465057
18,0,2.935586929,12.11227633
19,0,2.923442364,11.13780091
20,0,2.952433586,10.24679533
21,0,2.988481045,9.419190124
22,0,2.966795683,8.636211489
23,0,2.842884064,7.90817087
0,0,2.665506601,7.257142599
1,0,2.540288925,6.700943842
2,0,2.558627129,6.233417829
3,0,2.568781614,5.834558054
4,0,2.468173265,5.482569876
5,0,2.415196419,5.21685194
6,0,2.459528923,5.971479728
7,57,2.321001291,9.652571043
8,105,2.172303915,13.10350883
9,133,2.612946749,16.41914455
10,149,2.630470753,18.55797603
11,158,2.460113525,20.09802868
12,159,2.21963644,21.04528412
13,155,1.882011771,21.32944551
14,143,1.665699124,20.80507339
15,121,1.487783074,19.40660057
16,94,1.355911255,16.42426814
17,3,1.299447417,13.93545757
18,0,1.171498895,13.06346246
19,0,0.935286403,12.28779833
20,0,0.6925686,11.55157907
21,0,0.587683618,10.91061392
22,0,0.573810995,10.32007419
23,0,0.5800758,9.779932191
0,0,0.606717288,9.267954249
1,0,0.634350061,8.84168443
2,0,0.856525064,8.459750835
3,0,1.066044569,8.137979998
4,0,1.18027246,7.860868798
5,0,1.238262534,7.671468578
6,0,1.228685379,8.586178165
7,57,1.136515498,13.10197357
8,104,0.67740202,16.14829411
9,132,0.991168559,20.06941267
10,148,1.698691845,22.45408278
11,156,2.033111572,23.51515954
12,158,2.32145834,23.98083861
13,153,2.503392935,23.89510961
14,142,2.627491951,23.22124183
15,121,2.450956583,21.88645146
16,86,2.191036224,19.02432024
17,3,2.11152482,16.67573384
18,0,2.120998144,15.83358492
19,0,2.100951433,15.04577938
20,0,2.031076908,14.27247884
21,0,1.953509808,13.52500636
22,0,1.953908443,12.81461202
23,0,2.099383831,12.12726139
0,0,2.32549572,11.46351385
1,0,2.589591026,10.78187268
2,0,2.767594337,10.09339453
3,0,2.78631258,9.373935626
4,0,2.631267309,8.705277119
5,0,2.344293594,8.138107796
6,0,1.976673722,8.698293066
7,57,1.401136756,12.42798995
8,112,0.812742829,15.82143932
9,133,0.851423383,20.11661234
10,149,1.394410729,22.28070164
11,157,1.891787052,23.37081596
12,159,2.192495584,23.77307548
13,154,2.335588932,23.5448154
14,143,2.44739604,22.7332155
15,122,2.434194326,21.28863167
16,93,2.476868391,18.2416078
17,4,2.729237318,15.71335471
18,0,2.821382523,14.68099768
19,0,2.729264975,13.66939164
20,0,2.645990849,12.71685804
21,0,2.621329069,11.83049977
22,0,2.590310812,10.99380711
23,0,2.563893557,10.22844371
0,0,2.579322577,9.546679778
1,0,2.641071081,8.942868443
2,0,2.613169193,8.389969909
3,0,2.574632645,7.919020033
4,0,2.566513538,7.516926569
5,0,2.552460194,7.174360493
6,0,2.416036367,7.881710513
7,57,2.00682497,11.6582868
8,112,1.535549164,15.13015551
9,133,1.299864292,19.21983399
10,150,0.778594613,21.56163157
11,158,0.274788141,23.02502952
12,159,0.433410943,23.75685362
13,155,0.903781235,23.66547422
14,143,1.425337911,22.7940507
15,123,1.85909903,21.21816173
16,88,2.277702093,18.09585881
17,4,2.646845102,15.48938918
18,0,2.786922693,14.44173767
19,0,2.785897493,13.48028017
20,0,2.745467663,12.56029668
21,0,2.668494701,11.72839606
22,0,2.53399682,10.98918721
23,0,2.332137108,10.32280539
0,0,2.117530584,9.745397667
1,0,1.969138145,9.259443596
2,0,1.909453392,8.844243513
3,0,1.941759706,8.479147083
4,0,2.02325654,8.153908952
5,0,2.087503195,7.847080644
6,0,2.120470047,8.670725588
7,57,1.937569976,12.62398897
8,105,1.519541979,15.8768107
9,133,1.653953075,19.69305535
10,149,1.597252846,21.80498779
11,157,1.571288705,23.2342386
12,159,1.664951801,23.97259687
13,155,1.874631166,23.94708067
14,143,2.005799055,23.15254847
15,123,2.038820028,21.63148969
16,88,2.131857395,18.61237938
17,4,2.212766171,16.12430617
18,0,2.11293292,15.24637901
19,0,1.9287287,14.45013088
20,0,1.73824513,13.74130849
21,0,1.623149753,13.10894563
22,0,1.595794082,12.55593378
23,0,1.648928046,12.03765989
0,0,1.738713264,11.55801778
1,0,1.81720376,11.09388521
2,0,1.822652578,10.68399131
3,0,1.776713848,10.31136965
4,0,1.743941069,10.00031861
5,0,1.722485423,9.722749025
6,0,1.711307883,10.60000205
7,58,1.599110126,14.581447
8,104,1.301357865,17.54212095
9,132,1.613805771,21.45613735
10,149,1.696828842,23.6853767
11,157,1.585245013,25.0488772
12,159,1.421307087,25.73260134
13,154,1.311136127,25.72146835
14,143,1.350370526,24.99050793
15,123,1.527212262,23.59748928
16,88,1.761710405,20.65647674
17,5,1.931425095,18.13858944
18,0,1.927857161,17.21115825
19,0,1.740634918,16.39225366
20,0,1.551215529,15.63053412
21,0,1.46925056,14.93354784
22,0,1.487930417,14.28098558
23,0,1.594981313,13.72837248
0,0,1.73099637,13.22910491
1,0,1.76457262,12.77585216
2,0,1.616870403,12.38934136
3,0,1.438112259,12.04172825
4,0,1.25953114,11.77453169
5,0,1.066829443,11.55815782
6,0,0.898830116,12.49442126
7,58,0.782687068,16.9240135
8,104,0.759948969,19.75820048
9,132,0.487369448,23.58417317
10,148,0.569807887,26.59812242
11,156,0.947722435,27.51809995
12,158,1.160942793,27.74878125
13,154,1.292768359,27.46824028
14,156,1.358339906,26.67276425
15,123,1.308827758,25.39853605
16,119,1.122419715,22.66668221
17,7,0.883856833,20.1445301
18,0,0.58260417,19.28053822
19,0,0.273244053,18.46301201
20,0,0.269466102,17.67771216
21,0,0.57121712,16.90767171
22,0,0.812056065,16.18484117
23,0,0.959323525,15.51796765
0,0,1.023356795,14.90534929
1,0,0.989608288,14.341982
2,0,0.820828319,13.86068359
3,0,0.656981349,13.40412352
4,0,0.581762671,13.04003092
5,0,0.664683044,12.7341039
6,0,0.891327739,13.61128856
7,58,1.115256071,17.58007997
8,103,1.088334203,20.34393407
9,131,0.707078278,24.73352643
10,147,0.088678472,27.41342941
11,156,0.549856365,28.34431716
12,158,0.887566507,28.57385502
13,153,1.092191458,28.30086978
14,142,1.247459888,27.43350266
15,123,1.383034825,26.04440389
16,88,1.58144331,23.41219765
17,8,1.882551551,20.8814087
18,0,2.181116581,19.85693018
19,0,2.433555603,18.81956181
20,0,2.716115236,17.77650719
21,0,2.897438765,16.78001221
22,0,2.977824211,15.80394708
23,0,2.996587992,14.94062854
0,0,3.001474142,14.21506944
1,0,2.992396355,13.61088671
2,0,2.9386971,13.07093557
3,0,2.872529745,12.63364639
4,0,2.820861578,12.30377503
5,0,2.766891956,12.06440893
6,0,2.681399345,12.81866718
7,58,2.234534264,15.97350755
8,103,1.693566918,19.71667238
9,131,1.400089025,24.28321652
10,147,1.04052794,26.96819705
11,156,1.103628278,28.38398562
12,157,1.341016054,28.75722171
13,153,1.547563076,28.10801805
14,142,1.674957156,27.19178691
15,122,1.705756307,26.04973615
16,88,1.424038887,23.97928349
17,7,1.208741784,22.11224502
18,0,1.247442126,21.21339982
19,0,1.608183384,20.46557435
20,0,2.027820349,19.81062299
21,0,2.44456315,19.28692522
22,0,2.803015709,18.81984774
23,0,3.034101009,18.36492448
0,0,3.147185564,17.96829262
1,0,3.138386965,17.54546541
2,0,2.997927904,17.16477553
3,0,2.831544638,16.8286285
4,0,2.674184322,16.55446475
5,0,2.486391306,16.32464833
6,0,2.318514824,16.88330369
7,58,1.908099651,18.67591896
8,103,1.537043214,20.95672402
9,130,1.772484064,23.49719045
10,146,1.983477473,24.44104433
11,155,2.013924122,24.53864585
12,305,2.024282694,24.83796034
13,344,1.993880153,24.88896811
14,261,1.925340772,24.53601385
15,123,1.846618772,23.8286506
16,128,1.868483901,22.02205282
17,9,2.256460667,19.95099832
18,0,2.653799057,19.022668
19,0,2.886014223,18.03777065
20,0,2.956211329,17.04094498
21,0,2.935295343,16.07941963
22,0,2.890300751,15.19088716
23,0,2.891731977,14.40867677
0,0,2.914887667,13.78315669
1,0,2.847591162,13.79822083
2,0,2.574375391,13.99169918
3,0,2.430304289,13.59239844
4,0,2.435757875,12.81654512
5,0,2.498663664,12.05835833
6,0,2.346246958,12.50256507
7,60,1.848447323,15.00485184
8,105,1.826146126,18.60981736
9,133,1.689247966,21.72558963
10,149,1.177386642,24.00736004
11,157,0.669880748,25.57133184
12,159,0.379624933,26.38984658
13,155,0.288656026,26.51466269
14,144,0.479147136,25.93022444
15,125,0.634858131,24.63826812
16,91,0.961797476,22.02670619
17,14,1.510058403,20.12294308
18,0,2.010314941,19.29608937
19,0,2.400906324,18.4770611
20,0,2.582513094,17.62824934
21,0,2.617240906,16.8178009
22,0,2.627705336,16.41077915
23,0,2.575510502,16.24924463
0,0,2.528846502,15.97659363
1,0,2.534482241,15.65940287
2,0,2.437672615,15.41555078
3,0,2.288318396,15.02706876
4,0,2.186662674,14.72030872
5,0,2.142707586,14.61447951
6,0,2.072841167,15.36031256
7,63,1.765083194,17.43234431
8,137,1.522442579,19.84945404
9,131,1.792485476,22.8186752
10,147,1.736002088,24.14330537
11,155,1.571700215,24.43827441
12,157,1.395210862,24.27535013
13,153,1.279188752,24.01849635
14,142,1.23596859,23.57688449
15,209,1.156984091,22.91895056
16,134,1.191884875,21.59647315
17,19,1.364567876,20.48686035
18,0,1.660071373,20.09034877
19,0,1.99196887,19.72680086
20,0,2.173760891,19.28361242
21,0,2.303963184,18.61526569
22,0,2.455154657,17.89098716
23,0,2.675935745,17.42115511
0,0,2.870515347,17.26951191
1,0,2.962060452,17.0769536
2,0,3.010716915,16.83118364
3,0,2.975701094,16.67520649
4,0,2.87971735,16.64539292
5,0,2.812841892,16.70255848
6,0,2.74362421,16.96248311
7,64,2.551841021,17.80305349
8,122,2.403755903,19.94958105
9,131,2.53308177,22.28882466
10,147,2.583969355,24.06326636
11,155,2.563632727,25.02057096
12,157,2.415637732,24.93519349
13,153,2.148305178,24.58158388
14,143,1.849442482,24.16024027
15,124,1.457805634,23.61369451
16,91,1.066198111,22.37900483
17,18,0.811511099,20.7871228
18,0,0.79581809,20.18247354
19,0,1.03509891,19.58772499
20,0,1.402622342,19.00757908
21,0,1.781381488,18.5197021
22,0,2.110444784,18.12047321
23,0,2.390788555,17.70605733
0,0,2.587527275,17.28407288
1,0,2.672701597,16.86783796
2,0,2.722657204,16.44949852
3,0,2.719680786,16.02675253
4,0,2.689849854,15.61116538
5,0,2.635687828,15.20944621
